生肖TOP9预测器 - 300期验证详情
命中率: 85.0%, 最大连miss: 2, ROI: +8.6%
交叉验证: 82.2% ± 6.4%
====================================================================================================

第  1期 | 号码=33 生肖=狗 | 预测=龙,羊,蛇,猪,鸡,牛,马,虎,兔 | ❌ | 正常(多维度组合)
第199期 | 号码=43 生肖=鼠 | 预测=兔,龙,牛,猪,马,鼠,鸡,蛇,虎 | ✅ | 正常(多维度组合)
第200期 | 号码=13 生肖=马 | 预测=兔,龙,猪,马,牛,猴,鸡,蛇,虎 | ✅ | 正常(多维度组合)
第201期 | 号码=41 生肖=虎 | 预测=兔,龙,牛,猪,鸡,羊,蛇,马,猴 | ❌ | 正常(多维度组合)
第202期 | 号码=21 生肖=狗 | 预测=龙,兔,猪,牛,鸡,羊,马,猴,蛇 | ❌ | 正常(多维度组合)
第203期 | 号码=28 生肖=兔 | 预测=龙,兔,马,猪,羊,牛,鸡,鼠,猴 | ✅ | 反miss-L1(blend热号, 连miss=2)
第204期 | 号码=27 生肖=龙 | 预测=龙,猪,牛,马,猴,鸡,羊,兔,鼠 | ✅ | 正常(多维度组合)
第205期 | 号码=11 生肖=猴 | 预测=牛,猪,马,猴,鸡,羊,蛇,兔,鼠 | ✅ | 正常(多维度组合)
第206期 | 号码=11 生肖=猴 | 预测=牛,猪,马,羊,鸡,兔,鼠,蛇,虎 | ❌ | 正常(多维度组合)
第207期 | 号码= 1 生肖=马 | 预测=牛,猪,羊,马,鸡,兔,鼠,蛇,猴 | ✅ | 正常(多维度组合)
第208期 | 号码=26 生肖=蛇 | 预测=牛,猪,羊,蛇,鸡,兔,鼠,龙,虎 | ✅ | 正常(多维度组合)
第209期 | 号码=31 生肖=鼠 | 预测=牛,猪,羊,鸡,鼠,龙,猴,兔,虎 | ✅ | 正常(多维度组合)
第210期 | 号码= 6 生肖=牛 | 预测=猪,牛,羊,鸡,猴,马,兔,蛇,虎 | ✅ | 正常(多维度组合)
第211期 | 号码=32 生肖=猪 | 预测=猪,羊,虎,鸡,兔,马,龙,蛇,猴 | ✅ | 正常(多维度组合)
第212期 | 号码=39 生肖=龙 | 预测=羊,鸡,虎,蛇,龙,猴,兔,马,牛 | ✅ | 正常(多维度组合)
第213期 | 号码=46 生肖=鸡 | 预测=羊,鸡,虎,蛇,兔,牛,狗,猴,猪 | ✅ | 正常(多维度组合)
第214期 | 号码=12 生肖=羊 | 预测=羊,虎,狗,蛇,猪,兔,猴,牛,鸡 | ✅ | 正常(多维度组合)
第215期 | 号码=42 生肖=牛 | 预测=蛇,虎,狗,兔,鼠,猴,羊,牛,猪 | ✅ | 正常(多维度组合)
第216期 | 号码=18 生肖=牛 | 预测=虎,狗,兔,马,鼠,蛇,羊,猪,猴 | ❌ | 正常(多维度组合)
第217期 | 号码=47 生肖=猴 | 预测=虎,狗,兔,鼠,马,蛇,猴,羊,猪 | ✅ | 正常(多维度组合)
第218期 | 号码=28 生肖=兔 | 预测=虎,狗,马,兔,蛇,鼠,羊,鸡,猪 | ✅ | 正常(多维度组合)
第219期 | 号码=37 生肖=马 | 预测=虎,狗,蛇,马,鼠,羊,猪,鸡,兔 | ✅ | 正常(多维度组合)
第220期 | 号码=19 生肖=鼠 | 预测=虎,狗,蛇,鼠,羊,龙,兔,鸡,猪 | ✅ | 正常(多维度组合)
第221期 | 号码=45 生肖=狗 | 预测=狗,虎,蛇,鸡,猪,龙,猴,羊,马 | ✅ | 正常(多维度组合)
第222期 | 号码= 3 生肖=龙 | 预测=虎,蛇,猪,龙,狗,兔,鸡,羊,猴 | ✅ | 正常(多维度组合)
第223期 | 号码= 1 生肖=马 | 预测=虎,鸡,蛇,羊,猴,狗,马,猪,兔 | ✅ | 正常(多维度组合)
第224期 | 号码=41 生肖=虎 | 预测=虎,蛇,兔,鸡,猪,猴,羊,狗,鼠 | ✅ | 正常(多维度组合)
第225期 | 号码=26 生肖=蛇 | 预测=蛇,鸡,狗,羊,猪,猴,鼠,兔,虎 | ✅ | 正常(多维度组合)
第226期 | 号码= 6 生肖=牛 | 预测=猴,鼠,鸡,猪,羊,狗,牛,兔,蛇 | ✅ | 正常(多维度组合)
第227期 | 号码=41 生肖=虎 | 预测=猪,猴,羊,狗,兔,鸡,鼠,虎,马 | ✅ | 正常(多维度组合)
第228期 | 号码=19 生肖=鼠 | 预测=猪,鸡,羊,狗,猴,鼠,兔,龙,蛇 | ✅ | 正常(多维度组合)
第229期 | 号码=27 生肖=龙 | 预测=猪,鸡,猴,羊,兔,狗,马,龙,蛇 | ✅ | 正常(多维度组合)
第230期 | 号码= 1 生肖=马 | 预测=鸡,羊,猪,猴,兔,狗,马,蛇,虎 | ✅ | 正常(多维度组合)
第231期 | 号码=43 生肖=鼠 | 预测=猪,鸡,羊,兔,猴,蛇,狗,牛,虎 | ❌ | 正常(多维度组合)
第232期 | 号码=42 生肖=牛 | 预测=猪,鸡,猴,羊,牛,兔,狗,蛇,龙 | ✅ | 正常(多维度组合)
第233期 | 号码=11 生肖=猴 | 预测=猪,猴,羊,鸡,兔,狗,蛇,牛,虎 | ✅ | 正常(多维度组合)
第234期 | 号码=28 生肖=兔 | 预测=猪,鸡,兔,羊,狗,蛇,猴,牛,龙 | ✅ | 正常(多维度组合)
第235期 | 号码=36 生肖=羊 | 预测=猪,鸡,羊,蛇,狗,猴,马,龙,兔 | ✅ | 正常(多维度组合)
第236期 | 号码=16 生肖=兔 | 预测=猪,鸡,蛇,狗,猴,牛,兔,龙,马 | ✅ | 正常(多维度组合)
第237期 | 号码=13 生肖=马 | 预测=猪,鸡,狗,蛇,羊,猴,马,龙,鼠 | ✅ | 正常(多维度组合)
第238期 | 号码=19 生肖=鼠 | 预测=猪,鸡,狗,蛇,龙,鼠,虎,牛,猴 | ✅ | 正常(多维度组合)
第239期 | 号码= 1 生肖=马 | 预测=猪,鸡,狗,龙,牛,蛇,猴,马,虎 | ✅ | 正常(多维度组合)
第240期 | 号码= 3 生肖=龙 | 预测=猪,鸡,狗,虎,蛇,龙,牛,猴,兔 | ✅ | 正常(多维度组合)
第241期 | 号码=39 生肖=龙 | 预测=鸡,猪,狗,蛇,虎,羊,牛,猴,兔 | ❌ | 正常(多维度组合)
第242期 | 号码=24 生肖=羊 | 预测=鸡,猪,狗,蛇,牛,虎,羊,猴,兔 | ✅ | 正常(多维度组合)
第243期 | 号码=13 生肖=马 | 预测=鸡,猪,蛇,狗,虎,牛,猴,兔,马 | ✅ | 正常(多维度组合)
第244期 | 号码=23 生肖=猴 | 预测=猪,鸡,蛇,虎,狗,牛,鼠,猴,兔 | ✅ | 正常(多维度组合)
第245期 | 号码= 1 生肖=马 | 预测=猪,鸡,狗,虎,蛇,牛,兔,鼠,龙 | ❌ | 正常(多维度组合)
第246期 | 号码=38 生肖=蛇 | 预测=猪,鸡,蛇,虎,狗,牛,鼠,兔,龙 | ✅ | 正常(多维度组合)
第247期 | 号码=15 生肖=龙 | 预测=猪,鸡,狗,虎,牛,鼠,兔,蛇,龙 | ✅ | 正常(多维度组合)
第248期 | 号码=48 生肖=羊 | 预测=鸡,猪,狗,虎,牛,鼠,兔,羊,蛇 | ✅ | 正常(多维度组合)
第249期 | 号码=14 生肖=蛇 | 预测=猪,鸡,狗,牛,虎,鼠,兔,蛇,猴 | ✅ | 正常(多维度组合)
第250期 | 号码=48 生肖=羊 | 预测=猪,鸡,牛,狗,虎,鼠,兔,猴,蛇 | ❌ | 正常(多维度组合)
第251期 | 号码=23 生肖=猴 | 预测=猪,鸡,狗,牛,虎,兔,鼠,猴,蛇 | ✅ | 正常(多维度组合)
第252期 | 号码=31 生肖=鼠 | 预测=猪,鸡,虎,狗,兔,牛,鼠,马,猴 | ✅ | 正常(多维度组合)
第253期 | 号码=10 生肖=鸡 | 预测=猪,鸡,狗,牛,虎,兔,马,猴,蛇 | ✅ | 正常(多维度组合)
第254期 | 号码= 9 生肖=狗 | 预测=猪,狗,虎,牛,兔,鼠,马,蛇,龙 | ✅ | 正常(多维度组合)
第255期 | 号码=29 生肖=虎 | 预测=猪,虎,兔,牛,鼠,马,龙,狗,蛇 | ✅ | 正常(多维度组合)
第256期 | 号码=24 生肖=羊 | 预测=猪,牛,兔,鼠,马,鸡,狗,龙,羊 | ✅ | 正常(多维度组合)
第257期 | 号码=28 生肖=兔 | 预测=猪,牛,兔,龙,马,蛇,鼠,猴,虎 | ✅ | 正常(多维度组合)
第258期 | 号码=18 生肖=牛 | 预测=猪,牛,马,龙,鼠,鸡,猴,蛇,兔 | ✅ | 正常(多维度组合)
第259期 | 号码= 5 生肖=虎 | 预测=猪,马,龙,鼠,猴,兔,虎,鸡,牛 | ✅ | 正常(多维度组合)
第260期 | 号码=37 生肖=马 | 预测=猪,马,龙,鼠,鸡,猴,狗,蛇,兔 | ✅ | 正常(多维度组合)
第261期 | 号码= 5 生肖=虎 | 预测=猪,龙,鼠,猴,兔,蛇,马,鸡,牛 | ❌ | 正常(多维度组合)
第262期 | 号码=23 生肖=猴 | 预测=猪,龙,蛇,鸡,猴,鼠,马,狗,兔 | ✅ | 正常(多维度组合)
第263期 | 号码=24 生肖=羊 | 预测=猪,龙,马,蛇,兔,鼠,狗,鸡,牛 | ❌ | 正常(多维度组合)
第264期 | 号码=25 生肖=马 | 预测=猪,龙,蛇,马,兔,鼠,牛,鸡,狗 | ✅ | 正常(多维度组合)
第265期 | 号码=48 生肖=羊 | 预测=猪,龙,蛇,鼠,兔,鸡,狗,牛,马 | ❌ | 正常(多维度组合)
第266期 | 号码=46 生肖=鸡 | 预测=猪,蛇,龙,鼠,兔,牛,鸡,狗,马 | ✅ | 正常(多维度组合)
第267期 | 号码=34 生肖=鸡 | 预测=猪,龙,蛇,狗,鼠,兔,牛,猴,马 | ❌ | 正常(多维度组合)
第268期 | 号码=10 生肖=鸡 | 预测=猪,龙,蛇,鼠,狗,兔,牛,猴,马 | ❌ | 正常(多维度组合)
第269期 | 号码=33 生肖=狗 | 预测=猪,龙,蛇,马,羊,鼠,猴,狗,鸡 | ✅ | 反miss-L1(blend热号, 连miss=2)
第270期 | 号码= 2 生肖=蛇 | 预测=猪,龙,蛇,鼠,兔,牛,猴,狗,马 | ✅ | 正常(多维度组合)
第271期 | 号码=29 生肖=虎 | 预测=猪,龙,鼠,牛,猴,兔,蛇,虎,马 | ✅ | 正常(多维度组合)
第272期 | 号码=46 生肖=鸡 | 预测=猪,龙,鼠,猴,羊,兔,牛,狗,马 | ❌ | 正常(多维度组合)
第273期 | 号码=35 生肖=猴 | 预测=猪,龙,鼠,兔,猴,牛,狗,羊,马 | ✅ | 正常(多维度组合)
第274期 | 号码= 3 生肖=龙 | 预测=猪,龙,鼠,兔,牛,马,羊,蛇,狗 | ✅ | 正常(多维度组合)
第275期 | 号码=17 生肖=虎 | 预测=猪,鼠,兔,牛,羊,马,蛇,狗,虎 | ✅ | 正常(多维度组合)
第276期 | 号码=27 生肖=龙 | 预测=猪,鼠,兔,牛,羊,马,狗,蛇,龙 | ✅ | 正常(多维度组合)
第277期 | 号码= 5 生肖=虎 | 预测=猪,鼠,兔,牛,羊,马,狗,虎,蛇 | ✅ | 正常(多维度组合)
第278期 | 号码=16 生肖=兔 | 预测=猪,鼠,兔,牛,羊,马,狗,蛇,猴 | ✅ | 正常(多维度组合)
第279期 | 号码=19 生肖=鼠 | 预测=猪,鼠,牛,羊,马,蛇,猴,狗,兔 | ✅ | 正常(多维度组合)
第280期 | 号码=12 生肖=羊 | 预测=猪,牛,马,羊,狗,猴,蛇,兔,鼠 | ✅ | 正常(多维度组合)
第281期 | 号码=26 生肖=蛇 | 预测=猪,牛,马,蛇,猴,狗,兔,羊,鼠 | ✅ | 正常(多维度组合)
第282期 | 号码=27 生肖=龙 | 预测=猪,牛,马,狗,猴,羊,鼠,兔,龙 | ✅ | 正常(多维度组合)
第283期 | 号码=49 生肖=马 | 预测=猪,马,牛,狗,羊,猴,鸡,兔,虎 | ✅ | 正常(多维度组合)
第284期 | 号码=36 生肖=羊 | 预测=猪,牛,鸡,狗,猴,鼠,兔,羊,虎 | ✅ | 正常(多维度组合)
第285期 | 号码=37 生肖=马 | 预测=猪,牛,狗,鸡,猴,兔,马,蛇,鼠 | ✅ | 正常(多维度组合)
第286期 | 号码= 6 生肖=牛 | 预测=猪,牛,狗,鸡,猴,鼠,兔,蛇,虎 | ✅ | 正常(多维度组合)
第287期 | 号码=40 生肖=兔 | 预测=猪,狗,鸡,猴,虎,兔,蛇,牛,鼠 | ✅ | 正常(多维度组合)
第288期 | 号码=17 生肖=虎 | 预测=猪,鸡,狗,猴,鼠,虎,蛇,马,羊 | ✅ | 正常(多维度组合)
第289期 | 号码=35 生肖=猴 | 预测=猪,鸡,狗,猴,鼠,蛇,羊,马,牛 | ✅ | 正常(多维度组合)
第290期 | 号码=43 生肖=鼠 | 预测=猪,鸡,狗,蛇,鼠,猴,马,羊,龙 | ✅ | 正常(多维度组合)
第291期 | 号码=11 生肖=猴 | 预测=猪,鸡,狗,蛇,牛,猴,马,羊,龙 | ✅ | 正常(多维度组合)
第292期 | 号码=17 生肖=虎 | 预测=猪,鸡,狗,龙,蛇,羊,牛,马,虎 | ✅ | 正常(多维度组合)
第293期 | 号码=12 生肖=羊 | 预测=猪,鸡,狗,龙,蛇,羊,牛,马,猴 | ✅ | 正常(多维度组合)
第294期 | 号码=33 生肖=狗 | 预测=猪,鸡,狗,蛇,龙,马,兔,牛,猴 | ✅ | 正常(多维度组合)
第295期 | 号码=39 生肖=龙 | 预测=猪,鸡,龙,蛇,兔,鼠,牛,虎,狗 | ✅ | 正常(多维度组合)
第296期 | 号码=20 生肖=猪 | 预测=猪,鸡,蛇,兔,马,牛,虎,鼠,狗 | ✅ | 正常(多维度组合)
第297期 | 号码= 6 生肖=牛 | 预测=鸡,蛇,兔,牛,鼠,虎,马,狗,羊 | ✅ | 正常(多维度组合)
第298期 | 号码= 1 生肖=马 | 预测=鸡,蛇,兔,鼠,龙,虎,猪,狗,猴 | ❌ | 正常(多维度组合)
第299期 | 号码=28 生肖=兔 | 预测=鸡,蛇,鼠,兔,龙,虎,狗,猪,猴 | ✅ | 正常(多维度组合)
第300期 | 号码=22 生肖=鸡 | 预测=鸡,蛇,鼠,龙,羊,虎,猪,狗,猴 | ✅ | 正常(多维度组合)
